,researcher_id,document-count,eid,orcid,name,subject-area
1464,54885353300,5,9-s2.0-54885353300,,Fernández-Cabo Miguel Carlos,"['Engineering (all)', 'Arts and Humanities (all)', 'Mathematics (all)']"
1465,54885389800,8,9-s2.0-54885389800,,Jiménez-Martín Pedro Jesús,"['Medicine (all)', 'Health Professions  (all)']"
1466,54885490700,17,9-s2.0-54885490700,0000-0002-8036-5776,Vedrenne Michel,"['Environmental Science (all)', 'Earth and Planetary Sciences (all)', 'Engineering (all)']"
1467,54885637300,2,9-s2.0-54885637300,,Amores César Porras,[]
1468,54886403200,4,9-s2.0-54886403200,,Tortosa María E.,"['Agricultural and Biological Sciences (all)', 'Biochemistry, Genetics and Molecular Biology (all)']"
1469,54886467500,6,9-s2.0-54886467500,,Moreno-Cortés Alicia,"['Biochemistry, Genetics and Molecular Biology (all)', 'Agricultural and Biological Sciences (all)', 'Energy (all)']"
1470,54886500200,6,9-s2.0-54886500200,,Caballol David,"['Engineering (all)', 'Materials Science (all)', 'Environmental Science (all)']"
1471,54888500800,2,9-s2.0-54888500800,,Tarquis M.,"['Earth and Planetary Sciences (all)', 'Energy (all)']"
1472,54892060900,1,9-s2.0-54892060900,,De La Torre De Palacios L.,[]
1473,54893710700,5,9-s2.0-54893710700,,Espí Mariano Vázquez,"['Engineering (all)', 'Computer Science (all)', 'Mathematics (all)']"
1474,54894443200,7,9-s2.0-54894443200,,Moya-González Adolfo,"['Agricultural and Biological Sciences (all)', 'Engineering (all)', 'Computer Science (all)']"
1475,54894846600,2,9-s2.0-54894846600,,Casanova Luis Jesús Guerra,"['Engineering (all)', 'Social Sciences (all)', 'Biochemistry, Genetics and Molecular Biology (all)']"
1476,54895134500,4,9-s2.0-54895134500,,Gonzáles-Gross Marcela,"['Biochemistry, Genetics and Molecular Biology (all)', 'Medicine (all)', 'Nursing (all)']"
1477,54897499000,3,9-s2.0-54897499000,,Sáez Luis Martínez,"['Engineering (all)', 'Medicine (all)', 'Immunology and Microbiology (all)']"
1478,54917699700,4,9-s2.0-54917699700,,Burgos Francisco Morán,"['Computer Science (all)', 'Engineering (all)']"
1479,54933559700,2,9-s2.0-54933559700,,Benitez Javier,"['Agricultural and Biological Sciences (all)', 'Environmental Science (all)', 'Earth and Planetary Sciences (all)']"
1480,54941288700,3,9-s2.0-54941288700,,García Del Cid M. A.,"['Materials Science (all)', 'Chemistry (all)', 'Physics and Astronomy (all)']"
1481,54941358800,5,9-s2.0-54941358800,,Delgado-Cerezo Magdalena,"['Biochemistry, Genetics and Molecular Biology (all)', 'Agricultural and Biological Sciences (all)']"
1482,54947329100,3,9-s2.0-54947329100,0000-0002-8344-8788,Aledo David,"['Engineering (all)', 'Computer Science (all)']"
1483,54948668900,2,9-s2.0-54948668900,,Cañas Norberto,"['Engineering (all)', 'Computer Science (all)']"
1484,54950193800,6,9-s2.0-54950193800,0000-0003-0852-5840,De Guzmán Báez Ana,"['Earth and Planetary Sciences (all)', 'Engineering (all)', 'Social Sciences (all)']"
1485,54956715300,3,9-s2.0-54956715300,,Jurado Cabañes C.,[]
1486,54958741600,5,9-s2.0-54958741600,,Bernabéu-Larena Alejandro,"['Engineering (all)', 'Materials Science (all)']"
1487,54964976100,12,9-s2.0-54964976100,,Jurado C.,[]
1488,54973744700,7,9-s2.0-54973744700,,García-Fuentevilla Luisa L.,"['Environmental Science (all)', 'Engineering (all)', 'Chemical Engineering (all)']"
1489,54974424600,1,9-s2.0-54974424600,,Moratalla A.,"['Social Sciences (all)', 'Arts and Humanities (all)']"
1490,54976495300,2,9-s2.0-54976495300,,Villeta Miguel,"['Computer Science (all)', 'Mathematics (all)', 'Engineering (all)']"
1491,54980601100,1,9-s2.0-54980601100,,Hardy Laurent,"['Environmental Science (all)', 'Social Sciences (all)']"
1492,54981673900,3,9-s2.0-54981673900,,Vavassori Sergio,"['Computer Science (all)', 'Physics and Astronomy (all)', 'Chemistry (all)']"
1493,54981870400,4,9-s2.0-54981870400,,Fidalgo Ángel,"['Computer Science (all)', 'Business, Management and Accounting (all)', 'Social Sciences (all)']"
1494,54984227800,85,9-s2.0-54984227800,0000-0002-1183-9579,Alcarria Ramón,"['Computer Science (all)', 'Engineering (all)', 'Mathematics (all)']"
1495,54986335000,7,9-s2.0-54986335000,0000-0002-3863-5285,Cardesa José I.I.,"['Physics and Astronomy (all)', 'Engineering (all)', 'Multidisciplinary']"
1496,55001781300,2,9-s2.0-55001781300,,Vanorio G.,"['Engineering (all)', 'Computer Science (all)', 'Arts and Humanities (all)']"
1497,55001808900,5,9-s2.0-55001808900,,Nuere Silvia,"['Arts and Humanities (all)', 'Computer Science (all)', 'Engineering (all)']"
1498,55014692900,13,9-s2.0-55014692900,,Medic-Pejic Ljiljana,"['Energy (all)', 'Engineering (all)', 'Environmental Science (all)']"
1499,55017345500,2,9-s2.0-55017345500,,Cela Pablo Galán,[]
1500,55018493100,3,9-s2.0-55018493100,,Rodríguez De La Cruz Víctor,"['Engineering (all)', 'Chemical Engineering (all)', 'Computer Science (all)']"
1501,55018719700,1,9-s2.0-55018719700,,Suarez P.,"['Environmental Science (all)', 'Earth and Planetary Sciences (all)']"
1502,55025256300,2,9-s2.0-55025256300,,Monnot Julien Victor,"['Environmental Science (all)', 'Earth and Planetary Sciences (all)']"
1503,55025292500,12,9-s2.0-55025292500,,Martin Stickle M. Martin,"['Mathematics (all)', 'Engineering (all)', 'Earth and Planetary Sciences (all)']"
1504,55027260500,2,9-s2.0-55027260500,,Joglar Hernán,[]
1505,55027394300,2,9-s2.0-55027394300,,Araya Sergio,[]
1506,55037350600,3,9-s2.0-55037350600,,García-Albacete Marta,"['Environmental Science (all)', 'Biochemistry, Genetics and Molecular Biology (all)', 'Medicine (all)']"
1507,55040192100,4,9-s2.0-55040192100,,Poza Fernando,"['Energy (all)', 'Computer Science (all)', 'Chemical Engineering (all)']"
1508,55055149000,5,9-s2.0-55055149000,,Pérez-García Pablo,"['Biochemistry, Genetics and Molecular Biology (all)', 'Multidisciplinary', 'Engineering (all)']"
1509,55060139100,12,9-s2.0-55060139100,,Tierno Sandra Pilar,"['Physics and Astronomy (all)', 'Social Sciences (all)', 'Materials Science (all)']"
1510,55062234900,3,9-s2.0-55062234900,,González Aja Teresa,"['Social Sciences (all)', 'Medicine (all)', 'Arts and Humanities (all)']"
1511,55065910700,2,9-s2.0-55065910700,,López-Rodríguez Alicia,"['Environmental Science (all)', 'Social Sciences (all)']"
1512,55078149400,4,9-s2.0-55078149400,,Cabrera Miriam L Pacheco,[]
1513,55081959700,1,9-s2.0-55081959700,,Franco-Cañas Angélica María,"['Economics, Econometrics and Finance (all)', 'Agricultural and Biological Sciences (all)', 'Social Sciences (all)']"
1514,55084620000,15,9-s2.0-55084620000,,Mujica Gabriel,"['Computer Science (all)', 'Engineering (all)', 'Decision Sciences (all)']"
1515,55086952800,17,9-s2.0-55086952800,,Navarro Paloma,"['Medicine (all)', 'Nursing (all)', 'Social Sciences (all)']"
